,PRS,E1,E2,E3,D1,D2,M1,M2
249,-0.21801669874437507,0,1,0.2765700251896736,1.314863074528625,0.8605248236811041,-0.023350113428788663,-0.297020737935146
433,0.42667282347993185,0,0,0.4162425880453822,-0.045036949921799185,0.5407503546029393,-0.22644184689422306,0.1338874788715681
19,0.8106550034260697,0,1,-0.145039278606976,0.34069722453547224,-0.1612485735963945,1.7282822108455513,1.3851852017374071
322,0.15449727444451952,0,0,-0.43986048908030484,1.0515188832273725,0.8008899127340908,0.6404604836039578,0.7042709321507159
332,1.6589653613618407,0,0,-0.375074976705914,-0.41461329295779753,0.31782835708936846,-1.3698340773064055,-0.8369611529639551
56,1.5027855311376723,0,1,0.3062076536312932,1.0040639613352504,0.7539213296266593,-0.9518778907098258,-0.6294109208998101
301,1.3931325864365327,0,1,2.2831119597547924,-2.10515871477311,-0.8767648758671633,0.719023128716429,1.1200122219013258
229,0.7333641309996684,0,0,-1.5139320821707436,1.152155494400009,0.7594897879072001,0.2469749126024227,0.6776390492009121
331,-0.43016893051825694,1,1,0.4054842892862507,-0.7599868956205486,-0.0006193894187203619,0.7138534688969229,0.7350374696852998
132,0.45240094257034413,1,1,-0.7988450447812598,0.4676945062811941,0.6045451984285113,-0.5363825411057089,-0.19726850141452995
137,-0.14497557694061267,1,0,-0.11532281642618915,-0.2599470123547196,0.5053083749802764,-0.7532442370614284,0.03845237032380844
423,-0.465206256087744,0,1,-0.08893579731331888,1.274255361533767,0.5933074555085339,-0.036117527281860316,0.04191206929620647
335,2.7143797113835144,0,0,0.052914554601321884,0.4665237236914425,1.7068368178485642,0.08339300192625394,0.6202526500879068
25,-1.176431480417109,0,1,0.8520748489438944,-0.18819275786541972,-0.007856605542243489,-1.9359021111573573,-1.0997590460557052
464,-1.5284409557359997,0,1,-0.3314617236823892,1.7852389608940225,1.3903839805450922,-0.9569724211154768,-0.9699578678713814
281,0.6465616806150384,0,0,0.554301640995341,-1.2521317949416404,-0.22167498220663306,-0.7964518063402242,-0.6481696558721394
247,-0.9253024318723084,0,0,-0.3989290175644589,0.17946819122708257,0.07147711737412078,0.6448863184234265,-0.028463679248948437
237,1.8968721843349607,0,1,-1.0497380365357385,-1.164272622036047,-1.0759194302690025,-0.19927579685585528,0.6120853043037706
117,-0.3133228647788473,0,1,0.3250782785994505,1.1883184541260021,1.08766498642639,0.5735089047422165,1.081591939985562
