,G1,G2,G3,E1,E2,N1,N2,M1,M2
29,0.5341995255869898,0.1932103227219845,0.31994994015355965,-0.3396014684157432,0,0.6874530608657821,-0.15264076673016053,1.0437687853584485,-1.1740978477187713
535,1.2070373015860414,0.701361912852882,-1.1327538143179816,1.1061999071392445,1,0.29601065257207226,0.9597428511110535,-0.09483028588888655,-0.11105819323499722
695,-2.66181806903186,-0.7948100151802322,-0.9823719534185175,0.10240610777882844,1,0.17066609342908098,-0.3654828131754856,-0.8668723243997196,-1.2683187539879763
557,-0.9144099313966053,-1.582949634003161,-0.18170613085834106,1.0860793387482397,1,0.03472931567550995,-0.13830499544438324,-2.321282690491238,-0.291538582080918
836,-0.41558763501976453,-0.7368291392618085,0.6722510599712621,0.364754537441806,0,-1.0614675093249637,-0.7324421778659566,1.4674505137086347,0.4155319791796987
596,1.1584760707315818,1.256803976839905,1.1226465615890155,0.7226323695443705,0,1.1349837604733999,0.12212326841135447,-1.5453888250989847,0.9116313566805062
165,0.8726654871272783,-1.1012558603549165,-0.28259344848569445,0.19971412575363093,1,1.0329026879808751,-0.9608471198820783,-0.35181391906131093,-1.032794140303642
918,0.12165618214836475,-1.4017344117751969,1.5931875961236666,0.9881282371957605,0,0.39673656343659774,-0.1603626085657111,2.957957770004265,0.23359920171579032
495,-1.4264501812164925,0.5462200210093974,-0.36147106996470174,-0.5251427312594934,1,0.40005015973067226,1.232506026660593,-0.37792895040944446,-2.0194786850527606
824,-0.044395408488882876,-0.27936807438399525,-0.28631766010390736,-1.694795584743256,0,0.7691217402646132,-0.34778954387832617,0.5274943984516907,-1.7657804719380814
65,-0.8568226391804387,-0.49314698610024205,-0.7010456101037871,-1.961367036815274,0,-0.5449607179650198,-0.8088851983717876,2.308705490532084,1.2630178606875484
141,-0.4723756295411898,0.2044264748427904,0.37600190310443005,-1.026000783731466,1,-0.5350390614685403,-0.727044802408815,1.9956741642673008,0.7251329085453248
925,-0.09282701539846007,0.9883233355207128,-0.4141118077535131,0.18642891769880415,1,-0.8915024493187266,-0.9417831347663558,-0.23248967360353107,0.29912414978185164
827,0.394176848895576,-1.3019021155465813,-0.13102532012476692,-0.6070792150931483,1,0.16688382560818116,0.4338016969598793,0.27445009777769314,0.7393947677885173
655,-0.0963758874144452,-0.42360956731082594,-0.6377241562369307,0.573932683508534,0,-0.25604029601658096,0.8093229568767643,0.18495167366062287,0.5215200008285708
331,-0.43016893051825694,0.44468365988749436,0.30208233674860796,-0.282883093077875,0,-0.7488723184708276,-0.9273589723215109,-0.9893221294111717,-0.36833568924264865
664,-0.41788988600882176,-1.149986576833252,1.5249328815770171,0.761966948507667,1,-0.3303583236375466,0.4226798813146297,0.5355655045620915,-0.03325959621413492
249,-0.21801669874437507,0.26473248385399356,0.869169055790989,1.196790699468981,0,0.4696606080123592,-0.6925665083171677,-0.12109631057844522,0.5429399966496478
